state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage,previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage,Demo | State Geographic Boundaries
AK,1,6,14,1,18,2,0,21,1250,21,766,21,12,21,2,21,0,21,0,21,0,21,89,21,1,21,1,21,12,21,12,21,0,21,0,21,237,21,0.6128,21,766,1250,0.015665796,21,12,766,0.0096,21,12,1250,0.004219409,21,1,237,0.375527426,21,89,237,4/14/2023 0:00,POINT (-134.40679 58.29973),0,20,0,19,0,19,0,18,1,19,1,20,0,19,0,19,0,21,0,21,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,21,0,9,39,0,0,0,0,0,0,21,0,21,0,8,0,8,1,0,8,21,22,21,61,21,0,21,0,19,0,19,0,21,0,21,6,21,16,21,
CO,0,24,61,3,62,20,4,85,9965,85,6268,85,177,85,32,85,27,85,0,85,2,85,719,85,29,85,26,85,170,85,134,85,7,85,4,85,1184,85,0.629001505,85,6268,9965,0.028238673,85,177,6268,0.017762168,85,177,9965,0.024493243,85,29,1184,0.607263514,85,719,1184,4/14/2023 0:00,POINT (-104.99203 39.74001),1,85,2,79,1,79,0,79,5,79,6,79,8,79,9,79,0,85,1,85,4,79,1,79,1,79,7,79,5,79,1,79,7,79,0,85,0,35,188,853,95,0,0,0,0,85,1,85,0,33,0,33,3,0,33,85,418,85,696,85,0,85,0,79,0,79,0,85,0,85,70,85,103,85,6
GA,4,25,85,8,82,24,5,114,16630,114,12364,114,593,114,32,114,86,114,1,114,36,114,1424,113,81,114,28,113,539,114,213,114,54,114,8,114,1878,113,0.743475646,114,12364,16630,0.047961825,114,593,12364,0.035658449,114,593,16630,0.037806177,113,71,1878,0.758253461,113,1424,1878,4/14/2023 0:00,POINT (-84.39111 33.74831),1,113,0,108,2,107,5,107,7,107,4,107,5,107,8,107,0,114,3,114,4,106,4,107,6,107,9,107,21,107,18,107,20,107,1,114,0,37,295,34,32,0,0,0,66,114,5,114,0,35,0,35,87,0,35,114,751,114,1269,114,1,113,0,107,0,107,0,114,4,114,262,114,378,114,11
SD,0,1,54,2,46,7,0,55,1954,55,1255,55,24,55,4,55,0,55,0,55,0,55,121,55,4,55,4,55,24,55,22,55,0,55,0,55,214,55,0.642272262,55,1255,1954,0.019123506,55,24,1255,0.012282497,55,24,1954,0.018691589,55,4,214,0.565420561,55,121,214,4/14/2023 0:00,POINT (-100.34987 44.36917),0,55,0,45,0,44,0,45,0,45,0,45,2,45,2,45,0,55,0,55,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,55,0,2,157,0,66,0,0,0,0,55,0,55,0,2,0,2,3,0,2,55,53,55,98,55,0,54,0,45,0,45,0,55,0,55,2,55,10,55,42
MO,2,20,79,20,52,29,8,101,12878,101,10482,101,493,101,19,101,125,101,1,101,9,101,1236,101,92,101,56,101,469,101,262,101,24,101,14,101,1522,101,0.813946265,101,10482,12878,0.047033009,101,493,10482,0.038282342,101,493,12878,0.060446781,101,92,1522,0.812089356,101,1236,1522,4/14/2023 0:00,POINT (-92.17785 38.57751),0,101,0,94,1,94,0,94,2,93,4,94,5,94,6,94,1,101,1,101,6,95,2,94,16,94,16,94,34,94,26,94,24,94,0,101,2,44,56,0,0,0,0,0,3,101,4,101,0,43,0,43,12,1,43,101,705,101,903,101,1,101,0,94,0,94,0,101,5,101,175,101,226,101,26
OR,1,16,31,2,34,12,0,48,5807,48,4484,48,204,48,7,48,48,48,0,48,7,48,430,48,30,48,14,48,191,48,113,48,13,48,3,48,559,48,0.772171517,48,4484,5807,0.045495094,48,204,4484,0.035130015,48,204,5807,0.053667263,48,30,559,0.769230769,48,430,559,4/14/2023 0:00,POINT (-123.04382 44.93326),0,48,0,46,0,46,0,46,1,46,1,46,3,46,2,46,0,45,0,48,1,46,1,46,4,46,3,46,17,46,8,46,14,46,0,45,1,28,205,0,30,0,0,0,0,48,0,48,0,27,0,27,4,0,27,48,210,48,292,48,0,48,0,46,0,46,0,45,0,48,12,48,31,48,38
MS,4,23,69,10,78,8,2,96,6404,96,3736,96,66,96,9,96,1,96,0,96,0,96,424,96,10,96,9,96,64,96,59,96,2,96,1,96,537,96,0.583385384,96,3736,6404,0.017665953,96,66,3736,0.010306059,96,66,6404,0.018621974,96,10,537,0.789571695,96,424,537,4/14/2023 0:00,POINT (-90.18045 32.29896),0,96,1,89,0,88,0,88,1,88,1,88,2,88,4,88,0,96,0,96,0,88,0,88,0,88,0,88,0,88,0,87,1,87,0,96,0,32,24,30,41,147,0,14,7,96,2,96,0,29,0,29,19,1,29,96,44,96,169,96,0,96,0,88,0,88,0,96,0,96,13,96,28,96,25
WY,0,0,26,2,19,5,1,26,1278,26,508,26,5,26,1,26,5,26,0,26,1,26,35,26,0,26,0,26,5,26,5,26,0,26,0,26,101,26,0.397496088,26,508,1278,0.00984252,26,5,508,0.003912363,26,5,1278,0,26,0,101,0.346534653,26,35,101,4/14/2023 0:00,POINT (-104.82155 41.13481),0,26,0,26,0,26,0,26,0,26,0,26,0,26,1,26,0,26,0,26,0,26,0,26,0,26,1,26,1,26,3,26,0,26,0,26,0,20,14,,159,0,,0,0,26,0,26,0,2,0,20,0,0,2,26,8,26,25,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,51
IL,2,32,112,6,108,32,20,146,23321,145,15673,145,513,146,57,146,75,146,1,146,15,146,1588,146,55,146,43,146,487,146,425,146,26,146,14,146,2547,146,0.672055229,145,15673,23321,0.032731449,145,513,15673,0.021997341,145,513,23321,0.021594032,146,55,2547,0.623478602,146,1588,2547,4/14/2023 0:00,POINT (-89.64361 39.8013),1,142,2,137,1,136,4,137,4,137,10,137,13,137,22,137,0,137,0,144,9,137,9,136,8,136,12,136,16,136,12,136,7,136,2,137,0,44,374,632,107,9,0,0,5,146,1,146,0,30,0,30,17,0,31,146,784,146,1225,146,0,146,0,137,1,137,0,146,5,146,362,146,553,146,14
MD,12,10,25,13,24,10,8,47,9908,47,7839,47,311,47,13,47,83,47,0,47,7,47,774,47,28,47,17,47,294,47,163,47,17,47,0,47,1168,47,0.791178845,47,7839,9908,0.039673428,47,311,7839,0.031388777,47,311,9908,0.023972603,47,28,1168,0.662671233,47,774,1168,4/14/2023 0:00,POINT (-76.49015 38.97678),0,47,0,46,0,46,0,46,1,46,4,46,5,46,3,46,0,47,0,47,8,46,9,46,5,46,12,46,15,46,17,46,17,46,0,47,2,26,418,365,365,0,0,0,0,47,3,47,0,26,5,26,7,0,26,47,283,47,487,47,0,47,0,46,0,46,0,47,0,47,15,47,19,47,21
